index,Time,Region,Civilian Population,Total Labor Force,Percent of Population,Employed - Total,Employed - Percent of Population,Unemployed - Total,Unemployed - Percent of Labor Force,year,state
11986,Aug-95,Alaska,416414,304540,73.1,282249,67.8,22291,7.3,1995,alaska
11987,Aug-95,Arizona,3364298,2244541,66.7,2125845,63.2,118696,5.3,1995,arizona
11988,Aug-95,Arkansas,1916001,1237244,64.6,1177585,61.5,59659,4.8,1995,arkansas
11989,Aug-95,California,23274224,15259718,65.6,14048415,60.4,1211303,7.9,1995,california
11990,Aug-95,Colorado,2901470,2133672,73.5,2045503,70.5,88169,4.1,1995,colorado
11991,Aug-95,Connecticut,2550489,1729141,67.8,1634844,64.1,94297,5.5,1995,connecticut
11992,Aug-95,Delaware,557173,386024,69.3,369184,66.3,16840,4.4,1995,delaware
11993,Aug-95,District of Columbia,455861,298945,65.6,272077,59.7,26868,9,1995,district of columbia
11994,Aug-95,Florida,11362155,7054662,62.1,6658902,58.6,395760,5.6,1995,florida
11995,Aug-95,Georgia,5475739,3699090,67.6,3510115,64.1,188975,5.1,1995,georgia
11996,Aug-95,Hawaii,868919,586645,67.5,550742,63.4,35903,6.1,1995,hawaii
11997,Aug-95,Idaho,860009,601733,70,568948,66.2,32785,5.4,1995,idaho
11998,Aug-95,Illinois,9045926,6176998,68.3,5855541,64.7,321457,5.2,1995,illinois
11999,Aug-95,Indiana,4436582,3134524,70.7,2990658,67.4,143866,4.6,1995,indiana
12000,Aug-95,Iowa,2180311,1586799,72.8,1531786,70.3,55013,3.5,1995,iowa
12001,Aug-95,Kansas,1923803,1348734,70.1,1290628,67.1,58106,4.3,1995,kansas
12002,Aug-95,Kentucky,2960385,1859790,62.8,1755018,59.3,104772,5.6,1995,kentucky
12003,Aug-95,Louisiana,3196448,1956903,61.2,1823885,57.1,133018,6.8,1995,louisiana
12004,Aug-95,Maine,956425,641047,67,603302,63.1,37745,5.9,1995,maine
12005,Aug-95,Maryland,3825078,2713931,71,2575569,67.3,138362,5.1,1995,maryland
12006,Aug-95,Massachusetts,4751325,3215482,67.7,3046416,64.1,169066,5.3,1995,massachusetts
12007,Aug-95,Michigan,7294584,4811726,66,4557646,62.5,254080,5.3,1995,michigan
12008,Aug-95,Minnesota,3494584,2607286,74.6,2512192,71.9,95094,3.6,1995,minnesota
12009,Aug-95,Mississippi,2005929,1261710,62.9,1180556,58.9,81154,6.4,1995,mississippi
12010,Aug-95,Missouri,4053546,2865384,70.7,2731017,67.4,134367,4.7,1995,missouri
12011,Aug-95,Montana,657706,444555,67.6,419118,63.7,25437,5.7,1995,montana
12012,Aug-95,Nebraska,1232575,904382,73.4,880007,71.4,24375,2.7,1995,nebraska
12013,Aug-95,Nevada,1230942,850080,69.1,803625,65.3,46455,5.5,1995,nevada
12014,Aug-95,New Hampshire,880509,631817,71.8,607069,68.9,24748,3.9,1995,new hampshire
12015,Aug-95,New Jersey,6201120,4128540,66.6,3861188,62.3,267352,6.5,1995,new jersey
12016,Aug-95,New Mexico,1258432,800123,63.6,747147,59.4,52976,6.6,1995,new mexico
12017,Aug-95,New York,14195500,8659665,61,8101908,57.1,557757,6.4,1995,new york
12018,Aug-95,North Carolina,5616122,3768177,67.1,3602043,64.1,166134,4.4,1995,north carolina
12019,Aug-95,North Dakota,478895,341663,71.3,330865,69.1,10798,3.2,1995,north dakota
12020,Aug-95,Ohio,8486198,5605560,66.1,5324796,62.7,280764,5,1995,ohio
12021,Aug-95,Oklahoma,2455838,1556443,63.4,1484825,60.5,71618,4.6,1995,oklahoma
12022,Aug-95,Oregon,2454394,1675245,68.3,1592912,64.9,82333,4.9,1995,oregon
12023,Aug-95,Pennsylvania,9380481,5912285,63,5563618,59.3,348667,5.9,1995,pennsylvania
12024,Aug-95,Rhode Island,784202,510780,65.1,478904,61.1,31876,6.2,1995,rhode island
12025,Aug-95,South Carolina,2818502,1862152,66.1,1764262,62.6,97890,5.3,1995,south carolina
12026,Aug-95,South Dakota,539041,388264,72,376428,69.8,11836,3,1995,south dakota
12027,Aug-95,Tennessee,4084465,2738908,67.1,2589821,63.4,149087,5.4,1995,tennessee
12028,Aug-95,Texas,13846892,9606369,69.4,9011574,65.1,594795,6.2,1995,texas
12029,Aug-95,Utah,1412493,1015155,71.9,980279,69.4,34876,3.4,1995,utah
12030,Aug-95,Vermont,448657,320401,71.4,306490,68.3,13911,4.3,1995,vermont
12031,Aug-95,Virginia,4989680,3445173,69,3286146,65.9,159027,4.6,1995,virginia
12032,Aug-95,Washington,4129538,2817269,68.2,2633110,63.8,184159,6.5,1995,washington
12033,Aug-95,West Virginia,1434601,786459,54.8,723165,50.4,63294,8,1995,west virginia
12034,Aug-95,Wisconsin,3913973,2888842,73.8,2781382,71.1,107460,3.7,1995,wisconsin
12035,Aug-95,Wyoming,359461,255532,71.1,243155,67.6,12377,4.8,1995,wyoming
12036,Sep-95,Alabama,3259344,2071273,63.5,1948061,59.8,123212,5.9,1995,alabama
12037,Sep-95,Alaska,417405,305218,73.1,282572,67.7,22646,7.4,1995,alaska
12038,Sep-95,Arizona,3374082,2247714,66.6,2129366,63.1,118348,5.3,1995,arizona
12039,Sep-95,Arkansas,1918412,1240309,64.7,1180034,61.5,60275,4.9,1995,arkansas
12040,Sep-95,California,23292316,15270532,65.6,14064877,60.4,1205655,7.9,1995,california
12041,Sep-95,Colorado,2908448,2139306,73.6,2050601,70.5,88705,4.1,1995,colorado
12042,Sep-95,Connecticut,2551952,1728095,67.7,1634921,64.1,93174,5.4,1995,connecticut
12043,Sep-95,Delaware,558249,385892,69.1,368740,66.1,17152,4.4,1995,delaware
12044,Sep-95,District of Columbia,456227,298322,65.4,271700,59.6,26622,8.9,1995,district of columbia
12045,Sep-95,Florida,11383510,7063035,62,6667219,58.6,395816,5.6,1995,florida
12046,Sep-95,Georgia,5486750,3705241,67.5,3518423,64.1,186818,5,1995,georgia
12047,Sep-95,Hawaii,869050,586262,67.5,550338,63.3,35924,6.1,1995,hawaii
12048,Sep-95,Idaho,862009,602779,69.9,569931,66.1,32848,5.4,1995,idaho
12049,Sep-95,Illinois,9052175,6183530,68.3,5861723,64.8,321807,5.2,1995,illinois
12050,Sep-95,Indiana,4441150,3133643,70.6,2990971,67.3,142672,4.6,1995,indiana
12051,Sep-95,Iowa,2181639,1589182,72.8,1534435,70.3,54747,3.4,1995,iowa
12052,Sep-95,Kansas,1925815,1347931,70,1291221,67,56710,4.2,1995,kansas
12053,Sep-95,Kentucky,2963435,1858686,62.7,1754667,59.2,104019,5.6,1995,kentucky
12054,Sep-95,Louisiana,3198469,1956941,61.2,1825221,57.1,131720,6.7,1995,louisiana
12055,Sep-95,Maine,956401,642499,67.2,605182,63.3,37317,5.8,1995,maine
12056,Sep-95,Maryland,3828902,2714213,70.9,2575751,67.3,138462,5.1,1995,maryland
12057,Sep-95,Massachusetts,4754315,3216059,67.6,3049070,64.1,166989,5.2,1995,massachusetts
12058,Sep-95,Michigan,7302284,4809222,65.9,4561475,62.5,247747,5.2,1995,michigan
12059,Sep-95,Minnesota,3499269,2610669,74.6,2515478,71.9,95191,3.6,1995,minnesota
12060,Sep-95,Mississippi,2008030,1262550,62.9,1181620,58.8,80930,6.4,1995,mississippi
12061,Sep-95,Missouri,4058127,2864907,70.6,2733807,67.4,131100,4.6,1995,missouri
12062,Sep-95,Montana,658673,445316,67.6,419698,63.7,25618,5.8,1995,montana
12063,Sep-95,Nebraska,1233819,905456,73.4,881062,71.4,24394,2.7,1995,nebraska
12064,Sep-95,Nevada,1235867,853603,69.1,807235,65.3,46368,5.4,1995,nevada
12065,Sep-95,New Hampshire,882605,632337,71.6,607974,68.9,24363,3.9,1995,new hampshire
12066,Sep-95,New Jersey,6206298,4130493,66.6,3864736,62.3,265757,6.4,1995,new jersey
12067,Sep-95,New Mexico,1260644,801645,63.6,747677,59.3,53968,6.7,1995,new mexico
12068,Sep-95,New York,14200581,8662646,61,8106073,57.1,556573,6.4,1995,new york
12069,Sep-95,North Carolina,5627609,3778597,67.1,3611539,64.2,167058,4.4,1995,north carolina
12070,Sep-95,North Dakota,479967,342538,71.4,331734,69.1,10804,3.2,1995,north dakota
12071,Sep-95,Ohio,8491127,5610804,66.1,5327515,62.7,283289,5,1995,ohio
12072,Sep-95,Oklahoma,2459027,1557928,63.4,1486605,60.5,71323,4.6,1995,oklahoma
12073,Sep-95,Oregon,2458664,1678210,68.3,1595277,64.9,82933,4.9,1995,oregon
12074,Sep-95,Pennsylvania,9385091,5918235,63.1,5568915,59.3,349320,5.9,1995,pennsylvania
12075,Sep-95,Rhode Island,784690,510760,65.1,479515,61.1,31245,6.1,1995,rhode island
12076,Sep-95,South Carolina,2822480,1864868,66.1,1765616,62.6,99252,5.3,1995,south carolina
12077,Sep-95,South Dakota,539129,388874,72.1,376986,69.9,11888,3.1,1995,south dakota
12078,Sep-95,Tennessee,4091060,2739091,67,2592010,63.4,147081,5.4,1995,tennessee
12079,Sep-95,Texas,13869493,9618449,69.3,9022864,65.1,595585,6.2,1995,texas
12080,Sep-95,Utah,1416941,1017351,71.8,982839,69.4,34512,3.4,1995,utah
12081,Sep-95,Vermont,449682,320866,71.4,306917,68.3,13949,4.3,1995,vermont
12082,Sep-95,Virginia,4996808,3439224,68.8,3279997,65.6,159227,4.6,1995,virginia
12083,Sep-95,Washington,4135781,2818658,68.2,2634294,63.7,184364,6.5,1995,washington
12084,Sep-95,West Virginia,1435478,787469,54.9,724188,50.4,63281,8,1995,west virginia
12085,Sep-95,Wisconsin,3918429,2892414,73.8,2783948,71,108466,3.8,1995,wisconsin
12086,Sep-95,Wyoming,359482,255770,71.1,243380,67.7,12390,4.8,1995,wyoming
12087,Oct-95,Alabama,3263146,2069833,63.4,1949801,59.8,120032,5.8,1995,alabama
12088,Oct-95,Alaska,417396,305806,73.3,282827,67.8,22979,7.5,1995,alaska
12089,Oct-95,Arizona,3384865,2250174,66.5,2131655,63,118519,5.3,1995,arizona
12090,Oct-95,Arkansas,1920824,1243190,64.7,1182297,61.6,60893,4.9,1995,arkansas
12091,Oct-95,California,23311407,15277933,65.5,14077484,60.4,1200449,7.9,1995,california
12092,Oct-95,Colorado,2915425,2143813,73.5,2054614,70.5,89199,4.2,1995,colorado
12093,Oct-95,Connecticut,2553415,1727298,67.6,1634985,64,92313,5.3,1995,connecticut
12094,Oct-95,Delaware,558325,385744,69.1,368130,65.9,17614,4.6,1995,delaware
12095,Oct-95,District of Columbia,455592,297669,65.3,271370,59.6,26299,8.8,1995,district of columbia
12096,Oct-95,Florida,11405865,7069141,62,6674603,58.5,394538,5.6,1995,florida
12097,Oct-95,Georgia,5498761,3709988,67.5,3526512,64.1,183476,4.9,1995,georgia
12098,Oct-95,Hawaii,870181,586287,67.4,550383,63.2,35904,6.1,1995,hawaii
12099,Oct-95,Idaho,864009,603967,69.9,571062,66.1,32905,5.4,1995,idaho
12100,Oct-95,Illinois,9059424,6190234,68.3,5866491,64.8,323743,5.2,1995,illinois
12101,Oct-95,Indiana,4446717,3131750,70.4,2989006,67.2,142744,4.6,1995,indiana
12102,Oct-95,Iowa,2182967,1591482,72.9,1536746,70.4,54736,3.4,1995,iowa
12103,Oct-95,Kansas,1927827,1347051,69.9,1291462,67,55589,4.1,1995,kansas
12104,Oct-95,Kentucky,2966485,1856883,62.6,1754054,59.1,102829,5.5,1995,kentucky
12105,Oct-95,Louisiana,3201491,1957394,61.1,1825841,57,131553,6.7,1995,louisiana
12106,Oct-95,Maine,957378,643886,67.3,607057,63.4,36829,5.7,1995,maine
12107,Oct-95,Maryland,3833727,2714218,70.8,2575229,67.2,138989,5.1,1995,maryland
12108,Oct-95,Massachusetts,4758305,3215872,67.6,3051280,64.1,164592,5.1,1995,massachusetts
12109,Oct-95,Michigan,7309984,4807930,65.8,4565380,62.5,242550,5,1995,michigan
12110,Oct-95,Minnesota,3504954,2614576,74.6,2518567,71.9,96009,3.7,1995,minnesota
12111,Oct-95,Mississippi,2010132,1262245,62.8,1181887,58.8,80358,6.4,1995,mississippi
12112,Oct-95,Missouri,4061709,2864254,70.5,2735770,67.4,128484,4.5,1995,missouri
12113,Oct-95,Montana,659639,445699,67.6,420087,63.7,25612,5.7,1995,montana
12114,Oct-95,Nebraska,1236063,906534,73.3,882033,71.4,24501,2.7,1995,nebraska
12115,Oct-95,Nevada,1241793,856786,69,810511,65.3,46275,5.4,1995,nevada
12116,Oct-95,New Hampshire,883701,632872,71.6,608838,68.9,24034,3.8,1995,new hampshire
12117,Oct-95,New Jersey,6211476,4132549,66.5,3867877,62.3,264672,6.4,1995,new jersey
12118,Oct-95,New Mexico,1262856,803042,63.6,747987,59.2,55055,6.9,1995,new mexico
12119,Oct-95,New York,14207662,8664429,61,8110815,57.1,553614,6.4,1995,new york
12120,Oct-95,North Carolina,5638096,3789610,67.2,3620972,64.2,168638,4.5,1995,north carolina
12121,Oct-95,North Dakota,480039,343297,71.5,332543,69.3,10754,3.1,1995,north dakota
12122,Oct-95,Ohio,8497056,5614038,66.1,5328824,62.7,285214,5.1,1995,ohio
12123,Oct-95,Oklahoma,2462215,1559133,63.3,1488270,60.4,70863,4.5,1995,oklahoma
12124,Oct-95,Oregon,2463935,1681904,68.3,1597670,64.8,84234,5,1995,oregon
12125,Oct-95,Pennsylvania,9389701,5923069,63.1,5572622,59.3,350447,5.9,1995,pennsylvania
12126,Oct-95,Rhode Island,785178,510794,65.1,480126,61.1,30668,6,1995,rhode island
12127,Oct-95,South Carolina,2825458,1866870,66.1,1766491,62.5,100379,5.4,1995,south carolina
12128,Oct-95,South Dakota,540218,389408,72.1,377434,69.9,11974,3.1,1995,south dakota
12129,Oct-95,Tennessee,4098655,2738695,66.8,2593827,63.3,144868,5.3,1995,tennessee
12130,Oct-95,Texas,13894095,9627113,69.3,9032047,65,595066,6.2,1995,texas
12131,Oct-95,Utah,1420389,1019434,71.8,985194,69.4,34240,3.4,1995,utah
12132,Oct-95,Vermont,449706,321318,71.5,307385,68.4,13933,4.3,1995,vermont
12133,Oct-95,Virginia,5003935,3431794,68.6,3272666,65.4,159128,4.6,1995,virginia
12134,Oct-95,Washington,4142024,2820556,68.1,2636170,63.6,184386,6.5,1995,washington
12135,Oct-95,West Virginia,1435354,788383,54.9,725158,50.5,63225,8,1995,west virginia
12136,Oct-95,Wisconsin,3922884,2896035,73.8,2786090,71,109945,3.8,1995,wisconsin
12137,Oct-95,Wyoming,360504,255958,71,243598,67.6,12360,4.8,1995,wyoming
12138,Nov-95,Alabama,3265948,2068153,63.3,1951379,59.7,116774,5.6,1995,alabama
12139,Nov-95,Alaska,417388,306340,73.4,283055,67.8,23285,7.6,1995,alaska
12140,Nov-95,Arizona,3393649,2252294,66.4,2133203,62.9,119091,5.3,1995,arizona
12141,Nov-95,Arkansas,1923236,1245323,64.8,1183791,61.6,61532,4.9,1995,arkansas
12142,Nov-95,California,23325499,15280783,65.5,14085584,60.4,1195199,7.8,1995,california
12143,Nov-95,Colorado,2922403,2146808,73.5,2057165,70.4,89643,4.2,1995,colorado
12144,Nov-95,Connecticut,2553878,1726701,67.6,1634945,64,91756,5.3,1995,connecticut
12145,Nov-95,Delaware,559401,385634,68.9,367434,65.7,18200,4.7,1995,delaware
12146,Nov-95,District of Columbia,454958,296914,65.3,270959,59.6,25955,8.7,1995,district of columbia
12147,Nov-95,Florida,11426221,7072625,61.9,6681065,58.5,391560,5.5,1995,florida
12148,Nov-95,Georgia,5509772,3713490,67.4,3534185,64.1,179305,4.8,1995,georgia
12149,Nov-95,Hawaii,871312,586903,67.4,550912,63.2,35991,6.1,1995,hawaii
12150,Nov-95,Idaho,866009,605260,69.9,572259,66.1,33001,5.5,1995,idaho
12151,Nov-95,Illinois,9064673,6194979,68.3,5869321,64.7,325658,5.3,1995,illinois
12152,Nov-95,Indiana,4450284,3127663,70.3,2984720,67.1,142943,4.6,1995,indiana
12153,Nov-95,Iowa,2184295,1593528,73,1538521,70.4,55007,3.5,1995,iowa
12154,Nov-95,Kansas,1928839,1346323,69.8,1291394,67,54929,4.1,1995,kansas
12155,Nov-95,Kentucky,2969534,1854845,62.5,1753225,59,101620,5.5,1995,kentucky
12156,Nov-95,Louisiana,3203512,1958230,61.1,1826129,57,132101,6.7,1995,louisiana
12157,Nov-95,Maine,958355,645391,67.3,609027,63.5,36364,5.6,1995,maine
12158,Nov-95,Maryland,3836552,2714176,70.7,2574419,67.1,139757,5.1,1995,maryland
12159,Nov-95,Massachusetts,4761295,3215081,67.5,3053214,64.1,161867,5,1995,massachusetts
12160,Nov-95,Michigan,7316683,4808112,65.7,4569466,62.5,238646,5,1995,michigan
12161,Nov-95,Minnesota,3509639,2619111,74.6,2521491,71.8,97620,3.7,1995,minnesota
12162,Nov-95,Mississippi,2012234,1261022,62.7,1181397,58.7,79625,6.3,1995,mississippi
12163,Nov-95,Missouri,4065290,2864012,70.5,2736952,67.3,127060,4.4,1995,missouri
12164,Nov-95,Montana,660605,445906,67.5,420411,63.6,25495,5.7,1995,montana
12165,Nov-95,Nebraska,1237307,907626,73.4,882935,71.4,24691,2.7,1995,nebraska
12166,Nov-95,Nevada,1246719,859721,69,813579,65.3,46142,5.4,1995,nevada
12167,Nov-95,New Hampshire,884796,633337,71.6,609530,68.9,23807,3.8,1995,new hampshire
12168,Nov-95,New Jersey,6215655,4135262,66.5,3870707,62.3,264555,6.4,1995,new jersey
12169,Nov-95,New Mexico,1265069,804225,63.6,748114,59.1,56111,7,1995,new mexico
12170,Nov-95,New York,14210743,8665220,61,8115847,57.1,549373,6.3,1995,new york
12171,Nov-95,North Carolina,5648583,3800611,67.3,3630068,64.3,170543,4.5,1995,north carolina
12172,Nov-95,North Dakota,480111,343944,71.6,333262,69.4,10682,3.1,1995,north dakota
12173,Nov-95,Ohio,8499986,5614589,66.1,5328667,62.7,285922,5.1,1995,ohio
12174,Nov-95,Oklahoma,2464404,1560032,63.3,1489863,60.5,70169,4.5,1995,oklahoma
12175,Nov-95,Oregon,2468205,1686419,68.3,1600190,64.8,86229,5.1,1995,oregon
12176,Nov-95,Pennsylvania,9392311,5926351,63.1,5575087,59.4,351264,5.9,1995,pennsylvania
12177,Nov-95,Rhode Island,785666,510914,65,480717,61.2,30197,5.9,1995,rhode island
12178,Nov-95,South Carolina,2828436,1868198,66.1,1766918,62.5,101280,5.4,1995,south carolina
12179,Nov-95,South Dakota,541307,389836,72,377734,69.8,12102,3.1,1995,south dakota
12180,Nov-95,Tennessee,4104250,2738196,66.7,2595405,63.2,142791,5.2,1995,tennessee
12181,Nov-95,Texas,13914696,9632220,69.2,9039498,65,592722,6.2,1995,texas
12182,Nov-95,Utah,1424838,1021336,71.7,987184,69.3,34152,3.3,1995,utah
12183,Nov-95,Vermont,449730,321756,71.5,307848,68.5,13908,4.3,1995,vermont
12184,Nov-95,Virginia,5010063,3422800,68.3,3264539,65.2,158261,4.6,1995,virginia
12185,Nov-95,Washington,4148267,2823432,68.1,2639429,63.6,184003,6.5,1995,washington
12186,Nov-95,West Virginia,1436231,789194,54.9,725990,50.5,63204,8,1995,west virginia
12187,Nov-95,Wisconsin,3927340,2899740,73.8,2788582,71,111158,3.8,1995,wisconsin
12188,Nov-95,Wyoming,360525,256104,71,243771,67.6,12333,4.8,1995,wyoming
12189,Dec-95,Alabama,3267750,2067044,63.3,1952949,59.8,114095,5.5,1995,alabama
12190,Dec-95,Alaska,418379,306874,73.3,283324,67.7,23550,7.7,1995,alaska
12191,Dec-95,Arizona,3403433,2254477,66.2,2134283,62.7,120194,5.3,1995,arizona
12192,Dec-95,Arkansas,1924648,1246562,64.8,1184345,61.5,62217,5,1995,arkansas
12193,Dec-95,California,23337590,15281262,65.5,14091747,60.4,1189515,7.8,1995,california
12194,Dec-95,Colorado,2928380,2148577,73.4,2058539,70.3,90038,4.2,1995,colorado
12195,Dec-95,Connecticut,2554341,1726643,67.6,1635059,64,91584,5.3,1995,connecticut
12196,Dec-95,Delaware,560477,385623,68.8,366826,65.4,18797,4.9,1995,delaware
12197,Dec-95,District of Columbia,455324,295855,65,270206,59.3,25649,8.7,1995,district of columbia
12198,Dec-95,Florida,11444576,7075076,61.8,6687884,58.4,387192,5.5,1995,florida
12199,Dec-95,Georgia,5520783,3717074,67.3,3542011,64.2,175063,4.7,1995,georgia
12200,Dec-95,Hawaii,871443,588063,67.5,551836,63.3,36227,6.2,1995,hawaii
12201,Dec-95,Idaho,868009,606616,69.9,573491,66.1,33125,5.5,1995,idaho
12202,Dec-95,Illinois,9068922,6197805,68.3,5870953,64.7,326852,5.3,1995,illinois
12203,Dec-95,Indiana,4453852,3121867,70.1,2979375,66.9,142492,4.6,1995,indiana
12204,Dec-95,Iowa,2185623,1595479,73,1540003,70.5,55476,3.5,1995,iowa
12205,Dec-95,Kansas,1929851,1346011,69.7,1291173,66.9,54838,4.1,1995,kansas
12206,Dec-95,Kentucky,2971584,1853287,62.4,1752568,59,100719,5.4,1995,kentucky
12207,Dec-95,Louisiana,3205533,1959805,61.1,1826901,57,132904,6.8,1995,louisiana
12208,Dec-95,Maine,958332,647037,67.5,611036,63.8,36001,5.6,1995,maine
12209,Dec-95,Maryland,3839376,2714543,70.7,2574112,67,140431,5.2,1995,maryland
12210,Dec-95,Massachusetts,4763285,3214374,67.5,3055388,64.1,158986,4.9,1995,massachusetts
12211,Dec-95,Michigan,7322383,4810451,65.7,4574074,62.5,236377,4.9,1995,michigan
12212,Dec-95,Minnesota,3513324,2624187,74.7,2524356,71.9,99831,3.8,1995,minnesota
12213,Dec-95,Mississippi,2013336,1259666,62.6,1180606,58.6,79060,6.3,1995,mississippi
12214,Dec-95,Missouri,4068872,2865492,70.4,2738085,67.3,127407,4.4,1995,missouri
12215,Dec-95,Montana,661571,446185,67.4,420885,63.6,25300,5.7,1995,montana
12216,Dec-95,Nebraska,1238550,908728,73.4,883830,71.4,24898,2.7,1995,nebraska
12217,Dec-95,Nevada,1251644,862728,68.9,816743,65.3,45985,5.3,1995,nevada
12218,Dec-95,New Hampshire,886892,633712,71.5,609981,68.8,23731,3.7,1995,new hampshire
12219,Dec-95,New Jersey,6219833,4139211,66.5,3873859,62.3,265352,6.4,1995,new jersey
12220,Dec-95,New Mexico,1267281,805252,63.5,748211,59,57041,7.1,1995,new mexico
12221,Dec-95,New York,14212824,8667829,61,8122020,57.1,545809,6.3,1995,new york
12222,Dec-95,North Carolina,5657070,3812202,67.4,3639651,64.3,172551,4.5,1995,north carolina
12223,Dec-95,North Dakota,481183,344470,71.6,333862,69.4,10608,3.1,1995,north dakota
12224,Dec-95,Ohio,8502915,5613439,66,5328054,62.7,285385,5.1,1995,ohio
12225,Dec-95,Oklahoma,2466593,1561058,63.3,1491717,60.5,69341,4.4,1995,oklahoma
12226,Dec-95,Oregon,2472476,1691764,68.4,1603112,64.8,88652,5.2,1995,oregon
12227,Dec-95,Pennsylvania,9394921,5929332,63.1,5578143,59.4,351189,5.9,1995,pennsylvania
12228,Dec-95,Rhode Island,786155,511186,65,481350,61.2,29836,5.8,1995,rhode island
12229,Dec-95,South Carolina,2831414,1869282,66,1767077,62.4,102205,5.5,1995,south carolina
12230,Dec-95,South Dakota,541396,390184,72.1,377943,69.8,12241,3.1,1995,south dakota
12231,Dec-95,Tennessee,4110845,2738406,66.6,2597255,63.2,141151,5.2,1995,tennessee
12232,Dec-95,Texas,13934297,9635664,69.2,9046884,64.9,588780,6.1,1995,texas
12233,Dec-95,Utah,1428286,1023117,71.6,988860,69.2,34257,3.3,1995,utah
12234,Dec-95,Vermont,450755,322201,71.5,308297,68.4,13904,4.3,1995,vermont
12235,Dec-95,Virginia,5015191,3413457,68.1,3256934,64.9,156523,4.6,1995,virginia
12236,Dec-95,Washington,4153511,2828216,68.1,2644832,63.7,183384,6.5,1995,washington
12237,Dec-95,West Virginia,1436107,789960,55,726822,50.6,63138,8,1995,west virginia
12238,Dec-95,Wisconsin,3930795,2903798,73.9,2792154,71,111644,3.8,1995,wisconsin
12239,Dec-95,Wyoming,360546,256227,71.1,243901,67.6,12326,4.8,1995,wyoming
12240,Jan-96,Alabama,3270552,2067195,63.2,1954711,59.8,112484,5.4,1996,alabama
12241,Jan-96,Alaska,418371,307401,73.5,283675,67.8,23726,7.7,1996,alaska
12242,Jan-96,Arizona,3412217,2257244,66.2,2135488,62.6,121756,5.4,1996,arizona
12243,Jan-96,Arkansas,1927059,1247123,64.7,1184140,61.4,62983,5.1,1996,arkansas
12244,Jan-96,California,23347682,15284736,65.5,14101377,60.4,1183359,7.7,1996,california
12245,Jan-96,Colorado,2934358,2150136,73.3,2059492,70.2,90644,4.2,1996,colorado
12246,Jan-96,Connecticut,2554805,1727519,67.6,1635714,64,91805,5.3,1996,connecticut
12247,Jan-96,Delaware,560553,385750,68.8,366495,65.4,19255,5,1996,delaware
12248,Jan-96,District of Columbia,454689,294341,64.7,268932,59.1,25409,8.6,1996,district of columbia
12249,Jan-96,Florida,11462931,7079505,61.8,6697131,58.4,382374,5.4,1996,florida
12250,Jan-96,Georgia,5530794,3723010,67.3,3551048,64.2,171962,4.6,1996,georgia
12251,Jan-96,Hawaii,872575,589572,67.6,552979,63.4,36593,6.2,1996,hawaii
12252,Jan-96,Idaho,869009,607949,70,574726,66.1,33223,5.5,1996,idaho
12253,Jan-96,Illinois,9072171,6201349,68.4,5873160,64.7,328189,5.3,1996,illinois
12254,Jan-96,Indiana,4457419,3116286,69.9,2974972,66.7,141314,4.5,1996,indiana
12255,Jan-96,Iowa,2185951,1597636,73.1,1541625,70.5,56011,3.5,1996,iowa
12256,Jan-96,Kansas,1931863,1346420,69.7,1291083,66.8,55337,4.1,1996,kansas
12257,Jan-96,Kentucky,2973634,1852859,62.3,1752646,58.9,100213,5.4,1996,kentucky
12258,Jan-96,Louisiana,3207554,1962753,61.2,1829078,57,133675,6.8,1996,louisiana
12259,Jan-96,Maine,959309,648716,67.6,612962,63.9,35754,5.5,1996,maine
12260,Jan-96,Maryland,3842201,2715919,70.7,2575188,67,140731,5.2,1996,maryland
12261,Jan-96,Massachusetts,4765275,3214839,67.5,3058598,64.2,156241,4.9,1996,massachusetts
12262,Jan-96,Michigan,7327083,4816380,65.7,4580249,62.5,236131,4.9,1996,michigan
12263,Jan-96,Minnesota,3517009,2629620,74.8,2527318,71.9,102302,3.9,1996,minnesota
12264,Jan-96,Mississippi,2015438,1259098,62.5,1180253,58.6,78845,6.3,1996,mississippi
12265,Jan-96,Missouri,4071453,2870075,70.5,2740465,67.3,129610,4.5,1996,missouri
12266,Jan-96,Montana,662538,446667,67.4,421599,63.6,25068,5.6,1996,montana
12267,Jan-96,Nebraska,1239794,909863,73.4,884800,71.4,25063,2.8,1996,nebraska
12268,Jan-96,Nevada,1256570,866076,68.9,820260,65.3,45816,5.3,1996,nevada
12269,Jan-96,New Hampshire,887988,634075,71.4,610241,68.7,23834,3.8,1996,new hampshire
12270,Jan-96,New Jersey,6223011,4145119,66.6,3878733,62.3,266386,6.4,1996,new jersey
12271,Jan-96,New Mexico,1269493,806201,63.5,748419,59,57782,7.2,1996,new mexico
12272,Jan-96,New York,14213904,8676288,61,8131307,57.2,544981,6.3,1996,new york
12273,Jan-96,North Carolina,5666557,3825650,67.5,3651343,64.4,174307,4.6,1996,north carolina
12274,Jan-96,North Dakota,481255,344886,71.7,334357,69.5,10529,3.1,1996,north dakota
12275,Jan-96,Ohio,8504845,5613163,66,5328691,62.7,284472,5.1,1996,ohio
12276,Jan-96,Oklahoma,2468782,1562824,63.3,1494385,60.5,68439,4.4,1996,oklahoma
12277,Jan-96,Oregon,2476746,1697759,68.5,1606620,64.9,91139,5.4,1996,oregon
12278,Jan-96,Pennsylvania,9395531,5933654,63.2,5583765,59.4,349889,5.9,1996,pennsylvania
